schol_id,University,Major,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Accomodation_duration,Expense_To_Pay,Expense_duration
2941,Zhejiang Normal University,Chinese Classical Text,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2942,Zhejiang Normal University,Fundamental Mathematics,Phd,English,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2943,Zhejiang Normal University,Early Childhood Education,Phd,English,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2944,Zhejiang Normal University,Applied Mathematics,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2945,Zhejiang Normal University,Operational Research and Cybernetics,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2946,Zhejiang Normal University,Fundamental Mathematics,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2947,Zhejiang Normal University,Chinese Modern and Contemporary Literature,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2948,Zhejiang Normal University,Ancient Chinese Literature,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2949,Zhejiang Normal University,Comparative Literature and World Literature,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2950,Zhejiang Normal University,Theory of Literature and Art,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2951,Zhejiang Normal University,Chinese Philology,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2952,Zhejiang Normal University,Linguistics and Applied Linguistics,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2953,Zhejiang Normal University,Physics,Phd,English,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2954,Zhejiang Normal University,Comparative Education,Phd,English,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2955,Zhejiang Normal University,Computer Science and Technology,Phd,English,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2956,Zhejiang Normal University,Applied Mathematics,Phd,English,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2957,Zhejiang Normal University,Operational Research and Cybernetics,Phd,English,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2958,Zhejiang Normal University,Fundamental Mathematics,Phd,English,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2959,Zhejiang Normal University,African Education and Social Development,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2960,Zhejiang Normal University,Chinese Classical Text,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2961,Zhejiang Normal University,Early Childhood Education,Phd,English,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2962,Zhejiang Normal University,Applied Mathematics,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2963,Zhejiang Normal University,Fundamental Mathematics,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2964,Zhejiang Normal University,Operational Research and Cybernetics,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2965,Zhejiang Normal University,Chinese Modern and Contemporary Literature,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2966,Zhejiang Normal University,Ancient Chinese Literature,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2967,Zhejiang Normal University,Comparative Literature and World Literature,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2968,Zhejiang Normal University,Chinese Philology,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2969,Zhejiang Normal University,Juvenile Literature,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2970,Zhejiang Normal University,Theory of Literature and Art,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2971,Zhejiang Normal University,Linguistics and Applied Linguistics,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2972,Zhejiang Normal University,Higher Education,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2973,Zhejiang Normal University,Curriculum and Pedagogy,Phd,Chinese,20000.0,0,0,6000,26000.0,Sep,2019,500.0,MONTH,1500.0,MONTH
2974,Zhejiang Normal University,Juvenile Literature,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2975,Zhejiang Normal University,Theory of Literature and Art,Phd,Chinese,32000.0,0,0,0,32000.0,Sep,2019,600.0,MONTH,1500.0,MONTH
2976,Zhejiang Normal University,Higher Education,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2977,Zhejiang Normal University,Curriculum and Pedagogy,Phd,Chinese,22800.0,0,0,0,22800.0,Sep,2019,825.0,MONTH,1500.0,MONTH
2978,Zhejiang Normal University,Higher Education,Phd,Chinese,32000.0,0,0,0,32000.0,Sep,2019,600.0,MONTH,1500.0,MONTH
2979,Zhejiang Normal University,Curriculum and Pedagogy,Phd,Chinese,32000.0,0,0,0,32000.0,Sep,2019,600.0,MONTH,1500.0,MONTH
2980,Beijing University of Chemical Technology,Chemical Engineering and Technology,Phd,English,26250.0,0,0,8750,35000.0,Sep,2020,65.0,DAY,1500.0,MONTH
2981,Beijing University of Chemical Technology,Controlling Science and Engineering,Phd,English,26250.0,0,0,8750,35000.0,Sep,2020,65.0,DAY,1500.0,MONTH
2982,Beijing University of Chemical Technology,Power Engineering and Engineering Thermophysics,Phd,English,26250.0,0,0,8750,35000.0,Sep,2020,65.0,DAY,1500.0,MONTH
2983,Beijing University of Chemical Technology,Chemistry,Phd,English,26250.0,0,0,8750,35000.0,Sep,2020,65.0,DAY,1500.0,MONTH
2984,Beijing University of Chemical Technology,Management Science and Engineering,Phd,English,26250.0,0,0,8750,35000.0,Sep,2020,65.0,DAY,1500.0,MONTH
2985,Beijing University of Chemical Technology,Materials Science and Engineering,Phd,English,26250.0,0,0,8750,35000.0,Sep,2020,65.0,DAY,1500.0,MONTH
2986,Beijing University of Chemical Technology,Environmental Science and Engineering,Phd,English,26250.0,0,0,8750,35000.0,Sep,2020,65.0,DAY,1500.0,MONTH
2987,South China University of Technology,Control Science and Control Engineering,Phd,English,34000.0,0,1,0,34000.0,Sep,2019,1000.0,MONTH,0.0,MONTH
2988,South China University of Technology,Material Science and Engineering,Phd,English,34000.0,0,1,0,34000.0,Sep,2019,1000.0,MONTH,0.0,MONTH
2989,South China University of Technology,Computer Science and Technology,Phd,English,34000.0,0,1,0,34000.0,Sep,2019,1000.0,MONTH,0.0,MONTH
2990,South China University of Technology,Software Engineering,Phd,English,34000.0,0,1,0,34000.0,Sep,2019,1000.0,MONTH,0.0,MONTH
2991,South China University of Technology,Information and Communication Engineering ,Phd,English,34000.0,0,1,0,34000.0,Sep,2019,1000.0,MONTH,0.0,MONTH
2992,South China University of Technology,Tourism Management,Phd,Chinese,34000.0,0,1,0,34000.0,Sep,2019,1000.0,MONTH,0.0,MONTH
2993,South China University of Technology,Chemistry and Technology of Green Energy,Phd,Chinese,34000.0,0,1,0,34000.0,Sep,2019,1000.0,MONTH,0.0,MONTH
